state,Moisture,Vol,Ash,Hydrogen,Carbon,Nitrogen,Oxygen,Total Sulfur,Sulfate S,Pyr S,Org S,Hocbtu
Alabama,2.1,34.9,27.6,4.2,52.7,1.2,3.8,10.5,0.07,9.05,1.38,10029
Alabama,0.9,38.4,15.5,4.8,65.9,1.1,2.5,10.3,0.08,8.85,1.35,12379
Alabama,1.2,34.4,22.6,4.6,60.5,1.1,1.6,9.6,0.02,7.63,1.98,11185
Alabama,1.7,30.8,25.9,4.5,56.3,1.4,2.7,9.2,0.02,7.49,1.68,10499
Alabama,1.4,27.5,29.4,3.9,53.9,1.2,2.5,9.1,0.02,7.21,1.84,10002
Alabama,1.3,30.5,26.2,4.1,57.1,1.2,2.6,8.7,0.07,7.25,1.4,10601
Alabama,1.7,32.5,22.6,4.4,58,1.2,5.3,8.5,0.03,7.49,1,10974
Alabama,1.8,29.4,18.2,4.5,61,1.2,6.8,8.3,0.8,5.98,1.5,11200
Alabama,2,38.4,16.7,4.7,63.2,1.4,5.8,8.2,0.01,8.09,0.14,12095
Alabama,1.4,32.7,20,4.6,62.7,1.4,3.2,8.1,0.03,5.54,2.5,11666
Alabama,2,38.8,14.1,5.3,67,1.6,3.9,8.1,0.04,6.07,2.03,12463
Alabama,1.9,34.4,22.9,4.5,58,1.3,5.2,8.1,0.03,5.49,2.54,10966
Alabama,2.3,37,18.7,5.2,61.8,1.3,5,8,0.04,7.59,0.4,11668
Alabama,1.7,35.2,17.7,4.8,64.7,1.5,3.5,7.9,0.01,7.12,0.72,11966
Alabama,2,37.9,14.6,5,66.8,1.5,4.3,7.9,0.04,5.96,1.86,12433
Alabama,2.6,38.2,12.3,5.1,66.4,1.5,6.9,7.9,0.01,6.87,0.98,12454
Alabama,1.4,35,18.8,5,63.9,1.5,3.3,7.5,0.01,6.8,0.71,11971
Alabama,1.5,31.5,25.5,4.3,57.4,1.4,3.8,7.5,0.01,6.93,0.55,10746
Alabama,2.4,39.6,14.6,4.9,64.7,1.5,6.9,7.4,0.02,5.69,1.7,11979
Alabama,2.5,36.6,13.5,5,66.4,1.5,6.6,7.1,0.01,6.27,0.78,12273
Alabama,1.6,36.9,18.4,5,63.1,1.4,5.3,6.9,0.01,5.34,1.52,11791
Alabama,3,38.7,10.5,5.2,69.2,1.6,6.7,6.8,0.02,6.02,0.79,12706
Alabama,4.2,31.8,17.3,4.7,63.3,1.3,6.7,6.7,0.02,6.61,0.12,11554
Alabama,1.6,31.9,14.5,4.8,68.5,1.5,4.1,6.6,0.02,5.89,0.73,12722
Alabama,3,34.3,19.8,4.7,60.8,1.4,6.8,6.5,0.03,6.43,0.08,11201
Alabama,2,31.9,26.9,4.4,55.9,1,5.4,6.3,0.07,5.36,0.91,10221
Alabama,1.79,32.29,13.06,4.71,67.29,1.62,7.09,6.23,0.91,2.83,2.49,12289
Alabama,2.3,33.3,19.2,4.8,62.8,1.4,5.7,6.2,0.01,4.8,1.36,11553
Alabama,2.1,39.7,12.4,5.2,68.3,1.6,6.4,6.2,0.03,4.94,1.21,12684
Alabama,4,38,17,4.9,62.9,1.5,7.6,6.2,0.01,6.06,0.13,11488
Alabama,2,32.7,25.9,4.4,57,1.3,5.2,6.1,0.02,3.99,2.11,10517
Alabama,2,32.8,25.3,4.7,57.1,1.3,5.7,6,0.02,4.83,1.12,10650
Alabama,1.6,35.8,15.1,5.2,68.1,1.7,4.1,5.9,0.01,5.73,0.11,12658
Alabama,1.6,34.2,16.9,4.7,65,1.6,5.9,5.9,0.02,5.11,0.82,12007
Alabama,1.3,36.9,13.6,4.9,69.3,1.6,4.7,5.8,0.01,4.97,0.81,12798
Alabama,1.9,40,9.3,5.6,72,1.7,5.6,5.8,0.04,4.69,1.08,13299
Alabama,1.85,35.79,15.67,4.9,65.09,1.49,7.11,5.74,0.2,4.16,1.38,12165
Alabama,1.8,28.5,26.2,4.2,58.1,1.4,4.3,5.7,0.02,3.57,2.16,10528
Alabama,1.4,39.6,11.9,5.3,70.3,1.6,5.2,5.7,0.01,4.75,0.9,12893
Alabama,2,38.2,11.1,5.1,69.8,1.6,6.8,5.7,0.01,4.59,1.08,12934
Alabama,1.65,28.97,18.12,4.47,65.43,1.32,5,5.66,0.28,4.79,0.59,11842
